Algorithm,ArrayType,Size,Time(ms)
BubbleSort,л.с,50,0.005
BubbleSort,л.с,100,0.0185
BubbleSort,л.с,150,0.0393
BubbleSort,л.с,200,0.0716
BubbleSort,л.с,250,0.126
BubbleSort,х.с,50,0.0061
BubbleSort,х.с,100,0.0219
BubbleSort,х.с,150,0.048
BubbleSort,х.с,200,0.0808
BubbleSort,х.с,250,0.163
BubbleSort,п.с,50,0.021
BubbleSort,п.с,100,0.0207
BubbleSort,п.с,150,0.0204
BubbleSort,п.с,200,0.0205
BubbleSort,п.с,250,0.0204
InsertionSort,л.с,50,0.0006
InsertionSort,л.с,100,0.0012
InsertionSort,л.с,150,0.0013
InsertionSort,л.с,200,0.0015
InsertionSort,л.с,250,0.0017
InsertionSort,х.с,50,0.0013
InsertionSort,х.с,100,0.0033
InsertionSort,х.с,150,0.0065
InsertionSort,х.с,200,0.0109
InsertionSort,х.с,250,0.0165
InsertionSort,п.с,50,0.0023
InsertionSort,п.с,100,0.0023
InsertionSort,п.с,150,0.0021
InsertionSort,п.с,200,0.0021
InsertionSort,п.с,250,0.0023
SelectionSort,л.с,50,0.0053
SelectionSort,л.с,100,0.0183
SelectionSort,л.с,150,0.047
SelectionSort,л.с,200,0.1107
SelectionSort,л.с,250,0.1571
SelectionSort,х.с,50,0.0064
SelectionSort,х.с,100,0.0202
SelectionSort,х.с,150,0.0438
SelectionSort,х.с,200,0.0909
SelectionSort,х.с,250,0.1502
SelectionSort,п.с,50,0.0207
SelectionSort,п.с,100,0.0204
SelectionSort,п.с,150,0.0206
SelectionSort,п.с,200,0.0202
SelectionSort,п.с,250,0.0205
